state_code,state_name_english,state_census2011_code,district_code,district_name_english,district_census2011_code,subdistrict_code,subdistrict_name_english,subdistrict_census2011_code,state_or_ut
23,Madhya Pradesh,23.0,419,Neemuch,432.0,3490,Jiran,3490.0,S
28,Andhra Pradesh,28.0,743,Parvathipuram Manyam,0.0,4810,Jiyyammavalasa,4810.0,S
21,Odisha,21.0,364,Malkangiri,399.0,3225,Jodamba,3225.0,S
8,Rajasthan,8.0,107,Jodhpur,113.0,570,Jodhpur,570.0,S
2,Himachal Pradesh,2.0,22,Mandi,27.0,124,Jogindarnagar,124.0,S
2,Himachal Pradesh,2.0,26,Una,29.0,6890,Jol,0.0,S
12,Arunachal Pradesh,12.0,679,Siang,0.0,6606,Jomlo Mobuk Circle,0.0,S
19,West Bengal,19.0,309,Darjeeling,327.0,2159,Jorebunglow Sukiapokhri,2159.0,S
8,Rajasthan,8.0,99,Dungarpur,124.0,6070,Jothari,0.0,S
6,Haryana,6.0,65,Jind,77.0,384,Julana,384.0,S
36,Telangana,0.0,690,Bhadradri Kothagudem,0.0,4746,Julurpadu,4746.0,S
24,Gujarat,24.0,448,Junagadh,479.0,3827,Junagadh,3827.0,S
33,Tamil Nadu,33.0,583,Ramanathapuram,626.0,5859,Kadaladi,5859.0,S
28,Andhra Pradesh,28.0,505,East Godavari,545.0,4918,Kadiam,4918.0,S
36,Telangana,0.0,518,Ranga Reddy,537.0,6324,Kadthal,0.0,S
10,Bihar,10.0,201,Katihar,212.0,1145,Kadwa,1145.0,S
36,Telangana,0.0,699,Kumuram Bheem Asifabad,0.0,4318,Kagaznagar,4318.0,S
10,Bihar,10.0,192,Bhagalpur,224.0,1336,Kahalgaon,1336.0,S
10,Bihar,10.0,216,Saharsa,214.0,1174,Kahara,1174.0,S
28,Andhra Pradesh,28.0,748,Eluru,0.0,5016,Kaikaluru,5016.0,S
9,Uttar Pradesh,9.0,660,Shamli,0.0,706,Kairana,706.0,S
9,Uttar Pradesh,9.0,125,Bahraich,180.0,922,Kaiserganj,922.0,S
14,Manipur,14.0,711,Kakching,0.0,1878,Kakching,1878.0,S
19,West Bengal,19.0,304,South 24 Parganas,343.0,2437,Kakdwip,2437.0,S
28,Andhra Pradesh,28.0,746,Kakinada,0.0,4913,Kakinada (Rural),4913.0,S
1,Jammu And Kashmir,1.0,12,Rajouri,6.0,24,Kalakote,24.0,U
27,Maharashtra,27.0,500,Yavatmal,510.0,4081,Kalamb,4081.0,S
6,Haryana,6.0,73,Rohtak,82.0,6467,Kalanaur,0.0,S
33,Tamil Nadu,33.0,731,Ranipet,0.0,7059,Kalavai,0.0,S
19,West Bengal,19.0,664,Alipurduar,0.0,2171,Kalchini,2171.0,S
19,West Bengal,19.0,316,Malda,332.0,2222,Kaliachak - III,2222.0,S
21,Odisha,21.0,364,Malkangiri,399.0,3227,Kalimela,3227.0,S
7,Delhi,7.0,670,South East,0.0,456,Kalkaji,456.0,U
33,Tamil Nadu,33.0,575,Kanniyakumari,629.0,5882,Kalkulam,5882.0,S
36,Telangana,0.0,509,Khammam,541.0,4763,Kalluru,4763.0,S
10,Bihar,10.0,206,Madhubani,207.0,1090,Kaluahi,1090.0,S
19,West Bengal,19.0,320,Nadia,336.0,6966,Kalyani,0.0,S
36,Telangana,0.0,686,Hanumakonda,0.0,4447,Kamalapur,4447.0,S
18,Assam,18.0,291,Kamrup,321.0,2118,Kamalpur,2118.0,S
